feature,importance
rank_diff,0.08489457464628376
elo_diff,0.07753097643995893
elo_ratio,0.07542082298956847
rank_ratio,0.0375711726849552
h2h_gd,0.035047360977691705
h2h_away_wins,0.030807918094628073
h2h_home_wins,0.029480195052422956
h2h_meetings,0.02560313757480603
h2h_draws,0.02482807665928756
away_form_clean_sheet_rate_10,0.02393579379115603
away_form_avg_goals_conceded_5,0.023843404661715296
home_form_clean_sheet_rate_10,0.023826530001276044
home_form_avg_goals_scored_5,0.023805944307521833
away_form_avg_goals_scored_5,0.02364971721367219
away_form_win_rate_10,0.023602039768052908
home_form_win_rate_10,0.02344031904492013
away_form_avg_goals_conceded_10,0.023377421850297207
away_form_win_rate_5,0.023226144930387986
home_form_avg_goals_scored_10,0.02320746908126114
home_form_clean_sheet_rate_5,0.023192790863307708
away_defence_rating,0.023108245068967286
away_form_clean_sheet_rate_5,0.023019966067094468
home_attack_rating,0.022982445638619953
away_attack_rating,0.02288620554424082
away_form_avg_goals_scored_10,0.022848686724343457
home_form_avg_goals_conceded_5,0.022836546217890656
home_defence_rating,0.0228073221529847
home_form_win_rate_5,0.022722409437945325
home_form_avg_goals_conceded_10,0.022601399986079032
home_rest_days,0.021467759934356078
away_rest_days,0.021277670059131903
rest_difference,0.021182000237399468
is_neutral,0.01766734088434131
is_friendly,0.010388137250284658
is_world_cup,0.009794470270270056
away_world_cup_titles_before,0.006786021393051355
home_world_cup_titles_before,0.005331562499828159
