feature,importance
elo_ratio,0.16206804417165346
elo_diff,0.15667568176185864
rank_diff,0.12049928846808475
rank_ratio,0.10825002887880096
h2h_gd,0.059639311483878674
is_neutral,0.030954861269986447
h2h_home_wins,0.02530111122268621
h2h_away_wins,0.023040189597036468
h2h_meetings,0.019988058500534558
away_defence_rating,0.016700921001412215
away_form_avg_goals_conceded_10,0.015911383827610228
h2h_draws,0.015864902819672667
home_defence_rating,0.015010343816562346
home_form_avg_goals_conceded_10,0.014262860604719067
away_form_avg_goals_conceded_5,0.01414735990894818
home_attack_rating,0.014071373140734884
away_form_avg_goals_scored_10,0.014004474154070749
home_form_avg_goals_scored_10,0.013968242399837646
away_attack_rating,0.013790053880984891
home_form_avg_goals_scored_5,0.01348442566664978
away_form_avg_goals_scored_5,0.012454107903510897
home_form_avg_goals_conceded_5,0.012205356900462707
rest_difference,0.011523047222421942
away_rest_days,0.010734544884591258
home_rest_days,0.010711965504796021
home_form_clean_sheet_rate_10,0.009321705456020938
home_form_win_rate_10,0.009228153547766947
away_form_win_rate_10,0.009086521639468362
away_form_clean_sheet_rate_10,0.008495813010986992
home_form_clean_sheet_rate_5,0.006543363762523957
away_form_win_rate_5,0.006434711307783955
is_friendly,0.0063873217118878695
away_form_clean_sheet_rate_5,0.006322398764781319
home_form_win_rate_5,0.006029253726462008
is_world_cup,0.0026689757467314155
away_world_cup_titles_before,0.002633966299679484
home_world_cup_titles_before,0.0015858760344012767
