feature,importance
elo_ratio,0.2788701822988744
rank_ratio,0.10975340834367547
rank_diff,0.10410354791235515
elo_diff,0.0977182529380942
is_neutral,0.05733970531794176
h2h_gd,0.048469229445045586
h2h_meetings,0.018536176586503403
rest_difference,0.018261666289069875
h2h_away_wins,0.01660627524637579
away_form_avg_goals_scored_5,0.015601572156585005
home_form_avg_goals_scored_5,0.01491433767612428
h2h_draws,0.014565666402908755
away_form_avg_goals_conceded_5,0.013822255936259732
home_form_avg_goals_conceded_5,0.012562315985293547
h2h_home_wins,0.012548647463183937
away_defence_rating,0.011877221665093179
away_form_avg_goals_conceded_10,0.011826677892318773
away_attack_rating,0.010966483049145359
home_attack_rating,0.010171006045586408
home_form_avg_goals_scored_10,0.01001132833201591
home_form_win_rate_10,0.00990798576214623
home_defence_rating,0.00986103617054221
away_form_avg_goals_scored_10,0.009238147970094817
home_rest_days,0.008906011502982513
home_form_clean_sheet_rate_10,0.0087260756000064
home_form_avg_goals_conceded_10,0.008340540783376354
away_form_win_rate_10,0.007781468473249155
is_friendly,0.007706737848803903
away_form_clean_sheet_rate_10,0.007050556847189772
away_rest_days,0.006948559249024111
home_form_clean_sheet_rate_5,0.005439802211428383
home_form_win_rate_5,0.005209682866089146
away_form_clean_sheet_rate_5,0.004756708025837956
away_form_win_rate_5,0.004552413045547994
is_world_cup,0.0026634731087746403
away_world_cup_titles_before,0.00246087738524398
home_world_cup_titles_before,0.0019239661672118883
