feature,importance
rank_diff,0.28354218196964703
elo_ratio,0.15482238615323182
h2h_gd,0.15378872325383658
is_neutral,0.10861156131246737
elo_diff,0.07866218445044408
is_friendly,0.05740270388998966
h2h_away_wins,0.055809909702283146
away_form_win_rate_5,0.03985765941894053
h2h_home_wins,0.03668835437478058
h2h_draws,0.03578636308450875
away_form_avg_goals_scored_5,0.03473321094650756
away_world_cup_titles_before,0.03242973177561676
away_form_clean_sheet_rate_10,0.029199187332899303
away_form_avg_goals_conceded_5,0.028493806600036826
home_form_avg_goals_scored_5,0.028438398414712174
home_world_cup_titles_before,0.023894927280841045
away_form_avg_goals_conceded_10,0.023879161874836352
home_defence_rating,0.02286757952468932
away_form_avg_goals_scored_10,0.022355073614345054
away_attack_rating,0.02235507361434481
home_form_clean_sheet_rate_5,0.020848510031087304
home_form_avg_goals_conceded_5,0.01940193320436229
rest_difference,0.017395287359113925
away_form_clean_sheet_rate_5,0.01726324882992072
h2h_meetings,0.016975637207450555
home_form_clean_sheet_rate_10,0.0146692631464018
home_form_win_rate_5,0.014394057922465418
is_world_cup,0.012499798347618394
home_form_avg_goals_conceded_10,0.012141191575758582
home_attack_rating,0.010839175210895334
home_form_avg_goals_scored_10,0.010066785137850687
home_rest_days,0.008920174579930176
away_form_win_rate_10,0.007900676978402932
home_form_win_rate_10,0.007731112141056658
away_rest_days,0.006420962202346105
rank_ratio,0.005761415108554252
away_defence_rating,0.00418053617606686
