,XGBoost,Gradient Boosting,Random Forest,Extra Trees,Logistic Regression,ANN,LSTM
XGBoost,1.0,0.9923754508401361,0.98398120868857,0.9548577291003925,0.8946723748332199,0.9362420033578771,0.0391395747339542
Gradient Boosting,0.9923754508401361,1.0,0.9741713006321903,0.9464409500703872,0.8804087328763007,0.9258578051934436,0.04001053568369334
Random Forest,0.98398120868857,0.9741713006321903,1.0,0.9611049103122313,0.914001295139726,0.9391301039319666,0.038584408905551114
Extra Trees,0.9548577291003925,0.9464409500703872,0.9611049103122313,1.0,0.9047183918395045,0.9522672981310971,0.04517101034282719
Logistic Regression,0.8946723748332199,0.8804087328763007,0.914001295139726,0.9047183918395045,1.0,0.9101985697058382,0.039703047058884874
ANN,0.9362420033578771,0.9258578051934436,0.9391301039319666,0.9522672981310971,0.9101985697058382,1.0,0.04188907547294469
LSTM,0.0391395747339542,0.04001053568369334,0.038584408905551114,0.04517101034282719,0.039703047058884874,0.04188907547294469,1.0
