,XGBoost,Gradient Boosting,Random Forest,Extra Trees,Logistic Regression,ANN,LSTM
XGBoost,0.3813443072702332,0.3684499314128944,0.362962962962963,0.34513031550068585,0.33827160493827163,0.3429355281207133,0.30973936899862825
Gradient Boosting,0.3684499314128944,0.38820301783264743,0.36021947873799726,0.3465020576131687,0.33936899862825787,0.34238683127572017,0.3102880658436214
Random Forest,0.362962962962963,0.36021947873799726,0.3860082304526749,0.3497942386831276,0.3432098765432099,0.345679012345679,0.3138545953360768
Extra Trees,0.34513031550068585,0.3465020576131687,0.3497942386831276,0.39451303155006856,0.3465020576131687,0.3530864197530864,0.3226337448559671
Logistic Regression,0.33827160493827163,0.33936899862825787,0.3432098765432099,0.3465020576131687,0.40548696844993143,0.34732510288065843,0.34375857338820304
ANN,0.3429355281207133,0.34238683127572017,0.345679012345679,0.3530864197530864,0.34732510288065843,0.4,0.3165980795610425
LSTM,0.30973936899862825,0.3102880658436214,0.3138545953360768,0.3226337448559671,0.34375857338820304,0.3165980795610425,0.5338820301783265
