,XGBoost,Gradient Boosting,Random Forest,Extra Trees,Logistic Regression,ANN,LSTM
XGBoost,0.0,0.005342087242752314,0.012125445529818535,0.0293912123888731,0.0631798505783081,0.03550531342625618,0.25337448716163635
Gradient Boosting,0.005342087242752314,0.0,0.020112859085202217,0.03707409277558327,0.07645735144615173,0.042909279465675354,0.2657143473625183
Random Forest,0.012125445529818535,0.020112859085202217,0.0,0.018975229933857918,0.041601747274398804,0.031395528465509415,0.20653007924556732
Extra Trees,0.0293912123888731,0.03707409277558327,0.018975229933857918,0.0,0.04686376079916954,0.027615945786237717,0.1926809400320053
Logistic Regression,0.0631798505783081,0.07645735144615173,0.041601747274398804,0.04686376079916954,0.0,0.054024629294872284,0.19992096722126007
ANN,0.03550531342625618,0.042909279465675354,0.031395528465509415,0.027615945786237717,0.054024629294872284,0.0,0.2233535796403885
LSTM,0.25337448716163635,0.2657143473625183,0.20653007924556732,0.1926809400320053,0.19992096722126007,0.2233535796403885,0.0
