,XGBoost,Gradient Boosting,Random Forest,Extra Trees,Logistic Regression,ANN,LSTM
XGBoost,1.0,0.9103215386470318,0.8857177793506607,0.7706141619332971,0.6483032397891546,0.7409232847817245,0.020067197417277916
Gradient Boosting,0.9103215386470318,1.0,0.8531801659864283,0.7566523395112897,0.6372514583798101,0.7245187986363599,0.02084014610272633
Random Forest,0.8857177793506607,0.8531801659864283,1.0,0.7801422289777971,0.66373143617216,0.7397823194297249,0.02125965273228836
Extra Trees,0.7706141619332971,0.7566523395112897,0.7801422289777971,1.0,0.6585974652987325,0.7605189369476894,0.022913435910217994
Logistic Regression,0.6483032397891546,0.6372514583798101,0.66373143617216,0.6585974652987325,1.0,0.659994288977727,0.0166533210686185
ANN,0.7409232847817245,0.7245187986363599,0.7397823194297249,0.7605189369476894,0.659994288977727,1.0,0.018450578687862484
LSTM,0.020067197417277916,0.02084014610272633,0.021259652732288248,0.022913435910217994,0.01665332106861872,0.018450578687862373,1.0
