,XGBoost,Gradient Boosting,Random Forest,Extra Trees,Logistic Regression,ANN,LSTM
XGBoost,1.0,0.9186046511627907,0.8975576662143826,0.8012738853503185,0.7541284403669725,0.7822277847309136,0.511554145899411
Gradient Boosting,0.9186046511627907,1.0,0.8701126573889993,0.7943396226415095,0.7469806763285024,0.768,0.5071748878923766
Random Forest,0.8975576662143826,0.8701126573889993,1.0,0.8121019108280255,0.7656058751529988,0.7850467289719626,0.5178813942960616
Extra Trees,0.8012738853503185,0.7943396226415095,0.8121019108280255,1.0,0.764065335753176,0.7998756991920447,0.532608695652174
Logistic Regression,0.7541284403669725,0.7469806763285024,0.7656058751529988,0.764065335753176,1.0,0.7580838323353294,0.5771533855366191
ANN,0.7822277847309136,0.768,0.7850467289719626,0.7998756991920447,0.7580838323353294,1.0,0.5128888888888888
LSTM,0.511554145899411,0.5071748878923766,0.5178813942960616,0.532608695652174,0.5771533855366191,0.5128888888888888,1.0
